event_id,time,space,variable,speed,acc,duration
2410,2,2.17,Brake,18.83453,0.3404285,9
2410,3,2.187,Acceleration,17.66265,0.28882834,14
2410,5,1.19,Brake,26.301208,0.33966833,13
2410,6,1.42,Acceleration,16.339806,0.44342843,10
2410,6,2.252,Acceleration,7.6137776,0.24391916,3
2410,7,2.634,Acceleration,25.449015,0.30367982,18
2410,7,2.701,Acceleration,22.748669,0.20563142,18
2410,7,2.641,Acceleration,15.083334,0.25628868,18
2410,7,0.897,Brake,23.726112,0.4249159,14
2410,8,0.934,Brake,28.072563,0.53482926,12
2410,8,1.09,Acceleration,10.4534445,0.30326167,10
2410,8,1.143,Acceleration,15.186334,0.36142296,4
2410,8,1.026,Brake,26.118,0.58739704,9
2410,11,0.806,Brake,20.815361,0.37608638,14
2410,12,1.061,Acceleration,12.415966,0.32699457,6
2410,13,2.753,Acceleration,21.205336,0.27382773,18
2410,13,2.678,Acceleration,24.156782,0.24758218,17
2410,14,1.21,Brake,19.043333,0.40108845,14
2410,16,0.376,Brake,30.65233,0.19966745,6
2410,16,0.623,Brake,27.199804,0.22664495,14
2410,17,0.734,Acceleration,4.6553984,0.25648844,10
2410,17,0.608,Acceleration,12.903334,0.30479968,8
2410,17,0.606,Brake,12.173334,0.30421546,4
2410,17,0.732,Acceleration,10.123334,0.25670797,5
2410,17,1.026,Acceleration,18.523335,0.24201271,13
2410,17,2.108,Acceleration,3.6500192,0.29980165,11
2410,19,2.746,Acceleration,27.27578,0.2847009,7
2410,19,0.861,Acceleration,3.6079943,0.24362811,3
2410,20,0.799,Acceleration,3.0266294,0.28783658,3
2410,20,2.719,Acceleration,28.390667,0.2968565,18
2410,20,0.925,Acceleration,4.2179155,0.28005958,4
2410,21,1.034,Acceleration,7.9057384,0.30654803,10
2410,24,2.737,Acceleration,31.44278,0.42595813,18
2410,24,2.753,Acceleration,23.692093,0.24133411,18
2410,27,2.514,Acceleration,19.704727,0.25828984,18
2410,27,2.142,Acceleration,11.591521,0.30907187,11
2410,29,1.776,Acceleration,12.143341,0.25817382,3
2410,29,1.776,Acceleration,12.143341,0.24567626,12
2410,29,1.793,Brake,10.806544,0.34585756,6
2410,30,1.674,Brake,10.395911,0.3661237,5
2410,30,2.31,Acceleration,7.991351,0.30087185,3
2410,30,2.31,Acceleration,7.991351,0.25140396,3
2510,6,0.598,Brake,35.14678,0.3409818,9
2510,7,1.831,Brake,27.613335,0.29197863,14
2510,7,1.658,Acceleration,35.455444,0.24131028,7
2510,7,1.591,Acceleration,35.455444,0.20790806,6
2510,7,1.876,Brake,34.632336,0.5298332,14
2510,7,1.875,Brake,13.591556,0.3461,6
2510,8,1.621,Brake,15.586373,0.47314405,9
2510,8,1.629,Brake,15.586373,0.45553976,11
2510,14,2.525,Brake,4.2619,0.31329525,10
2510,16,1.677,Brake,27.049816,0.46192375,11
2510,16,1.73,Acceleration,11.845656,0.36381364,6
2510,16,1.959,Brake,7.2848268,0.40053707,14
2510,16,2.003,Acceleration,11.149088,0.26267824,7
2510,18,2.376,Acceleration,6.895387,0.25730798,7
2510,18,2.46,Acceleration,9.649476,0.34235567,10
2510,20,2.806,Acceleration,7.5155635,0.35912022,4
2510,20,2.806,Acceleration,7.5155635,0.23298754,3
